Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
ACSF1,3.0,5.5,5.5,7.0,2.0,1.0,4.0
Adiac,5.0,1.5,1.5,3.0,4.0,6.0,7.0
ArrowHead,4.0,1.5,1.5,3.0,5.0,6.0,7.0
BME,1.0,2.5,2.5,4.0,5.0,7.0,6.0
Beef,5.0,1.5,1.5,3.0,4.0,6.0,7.0
BeetleFly,5.0,3.5,3.5,1.0,2.0,6.0,7.0
BirdChicken,6.0,4.5,4.5,2.0,1.0,3.0,7.0
CBF,4.0,1.5,1.5,3.0,5.0,7.0,6.0
Car,4.0,2.5,2.5,5.0,6.0,1.0,7.0
ToeSegmentation1,5.0,2.5,2.5,4.0,1.0,6.0,7.0
ToeSegmentation2,6.0,1.5,1.5,3.0,5.0,4.0,7.0
Trace,6.0,3.5,3.5,1.0,2.0,5.0,7.0
TwoLeadECG,1.0,5.5,5.5,3.0,2.0,4.0,7.0
UWaveGestureLibraryZ,4.0,2.5,2.5,1.0,6.0,5.0,7.0
Wafer,7.0,4.0,3.0,5.0,6.0,2.0,1.0
Wine,3.0,4.5,4.5,1.0,6.0,2.0,7.0
WordSynonyms,4.0,2.5,2.5,1.0,5.0,6.0,7.0
Worms,2.0,3.5,3.5,6.0,1.0,7.0,5.0
WormsTwoClass,7.0,4.5,4.5,3.0,1.0,2.0,6.0
Yoga,6.0,1.5,1.5,3.0,5.0,4.0,7.0
