Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
ACSF1,6.0,4.5,4.5,3.0,1.0,2.0,7.0
Adiac,6.0,3.5,3.5,1.0,2.0,5.0,7.0
ArrowHead,6.0,2.5,2.5,1.0,4.0,5.0,7.0
BME,1.0,2.5,2.5,5.0,6.0,7.0,4.0
Beef,5.0,2.5,2.5,6.0,1.0,4.0,7.0
BeetleFly,4.0,6.0,6.0,2.0,2.0,2.0,6.0
BirdChicken,6.0,3.0,3.0,1.0,3.0,5.0,7.0
CBF,5.0,2.5,2.5,1.0,4.0,7.0,6.0
Car,5.0,2.5,2.5,4.0,6.0,1.0,7.0
ChlorineConcentration,4.0,1.5,1.5,3.0,5.0,6.0,7.0
CinCECGTorso,2.0,3.5,3.5,1.0,6.0,5.0,7.0
Coffee,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Computers,7.0,2.5,2.5,1.0,4.0,6.0,5.0
CricketX,4.0,5.5,5.5,3.0,1.0,2.0,7.0
CricketY,3.0,1.5,1.5,5.0,4.0,6.0,7.0
CricketZ,4.0,2.5,2.5,1.0,7.0,5.0,6.0
Crop,4.0,5.5,5.5,3.0,2.0,1.0,7.0
DistalPhalanxOutlineAgeGroup,6.0,4.5,4.5,3.0,7.0,1.0,2.0
DistalPhalanxOutlineCorrect,7.0,2.5,2.5,1.0,6.0,4.0,5.0
DistalPhalanxTW,4.0,5.0,7.0,6.0,1.0,2.0,3.0
ECG200,7.0,1.5,1.5,5.0,4.0,6.0,3.0
ECG5000,7.0,2.5,2.5,4.0,6.0,1.0,5.0
ECGFiveDays,2.0,4.5,4.5,6.0,1.0,3.0,7.0
EOGHorizontalSignal,4.0,5.5,5.5,1.0,2.0,3.0,7.0
EOGVerticalSignal,5.0,2.5,2.5,1.0,6.0,4.0,7.0
EthanolLevel,2.0,4.5,4.5,1.0,6.0,3.0,7.0
FaceAll,4.0,1.5,1.5,3.0,7.0,5.0,6.0
FacesUCR,4.0,1.5,1.5,3.0,6.0,5.0,7.0
Fish,6.0,3.5,3.5,5.0,2.0,1.0,7.0
FordA,6.0,3.5,3.5,2.0,5.0,1.0,7.0
FordB,5.0,3.0,1.0,4.0,2.0,6.0,7.0
FreezerRegularTrain,6.0,3.0,3.0,3.0,3.0,3.0,7.0
FreezerSmallTrain,6.0,4.5,4.5,1.0,2.5,2.5,7.0
GunPoint,3.5,3.5,3.5,3.5,3.5,3.5,7.0
GunPointAgeSpan,1.0,3.5,3.5,6.0,2.0,5.0,7.0
GunPointMaleVersusFemale,1.0,4.5,4.5,3.0,2.0,6.0,7.0
GunPointOldVersusYoung,4.0,5.5,5.5,3.0,1.0,2.0,7.0
Ham,2.0,3.5,3.5,7.0,5.0,6.0,1.0
HandOutlines,6.0,4.5,4.5,2.0,3.0,1.0,7.0
Haptics,2.0,5.5,5.5,4.0,3.0,1.0,7.0
Herring,2.0,5.5,5.5,1.0,4.0,3.0,7.0
InlineSkate,5.0,2.5,2.5,4.0,6.0,1.0,7.0
InsectEPGRegularTrain,6.0,4.5,4.5,3.0,2.0,1.0,7.0
InsectWingbeatSound,1.0,2.5,2.5,4.0,6.0,5.0,7.0
ItalyPowerDemand,1.0,6.5,6.5,3.0,2.0,4.0,5.0
LargeKitchenAppliances,3.0,6.5,6.5,1.0,5.0,2.0,4.0
Mallat,5.0,2.5,2.5,1.0,4.0,7.0,6.0
Meat,1.5,5.5,5.5,1.5,3.0,4.0,7.0
MedicalImages,5.0,4.0,3.0,2.0,7.0,6.0,1.0
MiddlePhalanxOutlineAgeGroup,1.0,4.5,4.5,6.0,3.0,2.0,7.0
MiddlePhalanxOutlineCorrect,6.0,2.5,2.5,1.0,5.0,4.0,7.0
MiddlePhalanxTW,5.0,3.5,3.5,7.0,1.0,6.0,2.0
MixedShapesRegularTrain,6.0,4.5,4.5,2.0,3.0,1.0,7.0
MixedShapesSmallTrain,6.0,3.5,3.5,2.0,5.0,1.0,7.0
MoteStrain,2.0,5.5,5.5,4.0,3.0,1.0,7.0
NonInvasiveFetalECGThorax1,1.0,3.0,5.0,2.0,4.0,6.0,7.0
NonInvasiveFetalECGThorax2,4.0,2.0,1.0,3.0,5.0,6.0,7.0
OSULeaf,6.0,3.5,3.5,2.0,1.0,5.0,7.0
OliveOil,6.0,4.5,4.5,1.0,3.0,2.0,7.0
PhalangesOutlinesCorrect,7.0,2.0,3.0,1.0,6.0,5.0,4.0
Plane,3.5,3.5,3.5,3.5,3.5,3.5,7.0
PowerCons,7.0,3.5,3.5,5.0,2.0,6.0,1.0
ProximalPhalanxOutlineAgeGroup,3.0,4.5,4.5,7.0,2.0,6.0,1.0
ProximalPhalanxOutlineCorrect,4.0,5.5,5.5,3.0,2.0,7.0,1.0
