Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
ACSF1,6.5,6.5,1.0,4.0,2.0,5.0,3.0
Adiac,3.5,3.5,2.0,6.0,5.0,1.0,7.0
ArrowHead,2.5,2.5,4.0,6.0,1.0,5.0,7.0
BME,2.5,2.5,4.0,6.0,7.0,5.0,1.0
Beef,3.5,3.5,1.0,5.0,6.0,2.0,7.0
BeetleFly,5.5,5.5,4.0,3.0,2.0,1.0,7.0
BirdChicken,4.5,4.5,1.0,3.0,2.0,6.0,7.0
CBF,4.5,4.5,3.0,1.0,2.0,7.0,6.0
Car,4.5,4.5,2.0,3.0,1.0,6.0,7.0
ToeSegmentation1,5.5,5.5,3.0,2.0,4.0,1.0,7.0
ToeSegmentation2,5.5,5.5,2.0,1.0,4.0,3.0,7.0
Trace,5.5,5.5,1.0,2.0,3.0,4.0,7.0
TwoLeadECG,1.5,1.5,5.0,4.0,3.0,6.0,7.0
UWaveGestureLibraryZ,3.5,3.5,5.0,1.0,2.0,6.0,7.0
Wafer,2.5,2.5,4.0,5.0,6.0,7.0,1.0
Wine,5.5,5.5,4.0,3.0,1.0,2.0,7.0
WordSynonyms,5.5,5.5,2.0,4.0,7.0,1.0,3.0
Worms,2.5,2.5,1.0,5.0,7.0,4.0,6.0
WormsTwoClass,4.5,4.5,1.0,7.0,6.0,3.0,2.0
Yoga,6.5,6.5,3.0,1.0,2.0,4.0,5.0
